restaurant;online_order;book_table;rate;votes;phone;location;rest_type;dish_liked;cuisines;address;approx_cost;listed_in_type
"Bangalore Kabab Palace";No;No;NULL;0;"+91 7760933466";Banashankari;"Quick Bites";NULL;"Andhra, Biryani";"124, Muneshwara, Block 1, 50 Feet Road, Girinagar, Banashankari, Bangalore";150;Dine-out
"Hotel Andhra Speices";No;No;NULL;0;"+91 9591079669";Banashankari;"Quick Bites";NULL;Andhra;"263, 3rd Main Road, Chikka Laksandra, Banashankari, Bangalore";250;Dine-out
"Quality Dum Biriyani";No;No;NULL;0;"+91 6360078209";Banashankari;"Quick Bites";NULL;"Biryani, Kebab";"4, vivekananda Nagercoil, 43A Stop Banashankari, Bangalore";150;Dine-out
"Sri Murari Family Restaurant";No;No;NULL;0;"+91 9886670026
+91 9035992000";Banashankari;"Quick Bites";NULL;Biryani;"57, 3rd cross, 80 feet Road, Banashankari, Bangalore";250;Dine-out
"Taja Coffee";No;No;NULL;0;"00 09980872210";Banashankari;"Quick Bites";NULL;"South Indian";"86, 57th Cross, AVM Colony, 1 stage, Banashankari, Bangalore";150;Dine-out
"Aramane Donne Biriyani";No;No;NULL;0;"+91 6360738836
+91 7892206383";Banashankari;"Quick Bites";NULL;"South Indian, Biryani";"94, Katriguppe Main Road, Opposite Pai Showroom, Banashankari, Bangalore";150;Dine-out
"Swaada Healthy Kitchen";No;No;NULL;0;"+91 9964218383";Banashankari;"Quick Bites, Beverage Shop";NULL;"Healthy Food, Juices, Sandwich";"617, 100 Feet Ring Road Next to Devegowda Petrol Pump, Banashankari, Bangalore";350;Dine-out
"New Prakash Hotel";No;No;NULL;0;"+91 9972875814";Banashankari;"Quick Bites";NULL;"South Indian";"3448, Hosakerehalli Cross Road, Banashankari 3rd Stage, Banashankari, Bengaluru";250;Dine-out
"Gawdaru Mane Beriyani";No;No;NULL;0;"+91 9449798423";Banashankari;"Quick Bites";NULL;"South Indian, Biryani";"209, 5th Cross, AG Thaneerappa Road, 1st Phase Girinagar, Ganapathi Nagar, Banashankari Stage I, Banashankari, Bengaluru";300;Dine-out
"Kings Court Daba";No;No;NULL;0;"+91 9035370717";Banashankari;"Quick Bites";NULL;"Chinese, North Indian";"80 Feet Road, 2nd Phase, 3rd Block, Banashankari 3rd Stage, Hoskerehalli Cross, Banashankari, Bangalore";450;Dine-out
"MM Tiffen Center";No;No;NULL;0;"+91 9164551923";Banashankari;"Quick Bites";NULL;"South Indian, Fast Food";"29, 4th Main Rd, Srinivasnagar, Banashankari, Bangalore";150;Dine-out
"Sri Raghavendra Prasanna Coffee Beans Club";No;No;NULL;0;"080 26718077";Banashankari;"Quick Bites";NULL;"South Indian";"166, Banashankari, Bangalore";150;Dine-out
"Sri Balaji Tiffin Centre";No;No;NULL;0;"+91 8709408123";Banashankari;"Quick Bites";NULL;"South Indian, Chinese";"Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru";300;Dine-out
"New Indraprasta";No;No;NULL;0;"+91 8867333003";Banashankari;"Quick Bites";NULL;"South Indian, Beverages";"77, 50 Ft Road, Hanumathnagara, Banashankari, Bangalore";150;Dine-out
"Sree Sagar";Yes;No;NULL;0;"+91 9449150005";Banashankari;"Quick Bites";NULL;"South Indian";"8, Yarab Nagar Main Road, 2nd Stage, Banashankari, Bangalore";200;Dine-out
VEGeatz;Yes;No;3.4;19;"+91 9901533200";Banashankari;"Quick Bites";NULL;"South Indian, North Indian";"28/12/2, 3rd Main Road, Mountjoy Extension, Hanumantanagar, Banashankari, Bengaluru";200;Dine-out
"Grand Food";Yes;No;3.4;8;"+91 9980340788
+91 9449327226";Banashankari;"Quick Bites, Bakery";NULL;"South Indian, Bakery, Chinese";"6/1, Anjaneya Nagar, 100ft Ring Road, Banashankari 3rd Stage, Banashankari, Bangalore";250;Dine-out
"The House Of Vadapav";Yes;No;NULL;0;"+91 8884563131
+91 9945435158";Banashankari;"Quick Bites";NULL;NULL;"85, 7th Main Road, Nandakumar Layout, Ramanjaneya Nagar, Banashankari, Bangalore";150;Dine-out
"Matru Sagar";Yes;No;3.6;84;"+91 9972368854";Banashankari;"Quick Bites";"Coffee, Masala Dosa";"South Indian, North Indian, Chinese";"Shubashree Complex, 50 Feet Road, 1st Stage, Hanumanthanagar, Near Girinagar, Banashankari, Bangalore";250;Dine-out
Kavali;No;No;4;42;"+91 9900998811";Banashankari;"Quick Bites";"Cheese Dosa, Chocolate Dosa, Corn Dosa, Pesarattu, Bread Dosa";"South Indian, Street Food";"Chennammana Kere, Kathreguppe, Banashankari, Bangalore";300;Dine-out
Bitez;No;No;NULL;0;"+91 9916781796";Banashankari;"Quick Bites";NULL;"Fast Food";"12, Banashankari, Bangalore";100;Dine-out
"Bunt's Biriyani Palace";Yes;No;3;213;"080 26697231
+91 8711090256";Banashankari;"Quick Bites";"Neer Dosa, Sea Food, Pepper Chicken";"North Indian, South Indian, Chinese, Biryani, Seafood";"487, 80 Feet Road, Bank Colony, 1st Stage, Banashankari, Bangalore";400;Dine-out
"Funjabi Curries";Yes;No;2.9;11;"+91 7010846043";Banashankari;"Quick Bites";NULL;"North Indian";"476, 2nd Floor, 9th Cross, Avalahalli, Banashankari, Bengaluru";500;Dine-out
"Udupi Upahar";Yes;No;3.8;58;"080 45128750";Banashankari;"Quick Bites";NULL;"South Indian, Chinese, North Indian, Juices";"No.1585, 22nd Main,Banashankari 1st Stage";300;Dine-out
"Ranganna Military Hotel";No;No;4.2;725;"080 43027346";Jayanagar;"Quick Bites";"Mutton Biryani, Mutton Chops, Chicken Biryani, Chicken Fry, Paya, Mutton Fry, Chilli Chicken";"South Indian, Biryani";"61, 1st Floor, KR Road, 7th Block, Jayanagar, Bangalore";350;Dine-out
"Roti Ghar";Yes;No;3.9;750;"080 26629734
+91 9880141967";Basavanagudi;"Casual Dining";"Coffee, Spring Roll, Roti, Panneer Butter Masala, Noodles, Butter Naan, Masala Dosa";"North Indian, Chinese, South Indian";"17, Gandhi Bazaar Main Road, Basavanagudi, Bangalore";500;Dine-out
"Grand Village";No;No;3.8;166;"+91 8026612447
+91 9901210005";Basavanagudi;"Casual Dining";"Panipuri, Gol Gappe";"North Indian, Rajasthani";"10, 3rd Floor, Lakshmi Associates, Gandhi Bazaar Main Road, Above Reliance Trends, Basavanagudi, Bangalore";600;Dine-out
"Vidyarthi Bhavan";No;No;4.4;4460;"080 26677588";Basavanagudi;"Quick Bites";"Filter Kaapi, Filter Coffee, Khara Bhath, Maddur Vada, Crispy Masala Dosa, Kesari Bath, Ghee Masala Dosa";"South Indian";"32, Gandhi Bazaar, Near Gandhi Bazaar Circle, Basavanagudi, Bangalore";150;Dine-out
"Bharjari Oota";No;No;3.9;153;"080 26629734";Basavanagudi;"Casual Dining";"Curd Rice, Coriander Soup, Masala Dosa, Biryani, Thali";"South Indian";"18, Gandhi Bazar Main Road, Roti Ghar, Basavanagudi, Bangalore";350;Dine-out
"Gokul Veg";Yes;No;3.8;469;"+91 9980978388
080 26627612";Basavanagudi;"Casual Dining";"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti";"North Indian, Chinese, Beverages";"1st Floor, GR Plaza, DVG Road, Near Gandhi Bazaar circle, Basavanagudi, Bangalore";750;Dine-out
"SLV Corner Restaurant";Yes;No;4.1;364;"080 49653234";Basavanagudi;"Casual Dining";"Masala Dosa, Filter Coffee, Maddur Vada, Curd Vadai, Onion Dosa, Upma, Sunday Breakfast";"South Indian, Chinese, North Indian, Street Food, Rolls, Juices";"42, Vani Vilas Road, Ramakrishna Ashrama Circle, Basavanagudi, Bangalore";550;Dine-out
"Timepass Dinner";Yes;No;3.8;286;"+91 9980040002
+91 9980063005";Basavanagudi;"Casual Dining";"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice";"North Indian";"37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore";600;Dine-out
Baisakhi;Yes;No;3.8;527;"+91 7204339999";Basavanagudi;"Casual Dining";"Masala Chaach, Tomato Shorba, Gajar Ka Halwa, Biryani, Deluxe Punjabi Thali, Rajma, Paneer Tikka Masala";"North Indian";"160, Gandhi Bazar Main Road, Basavanagudi, Bangalore";500;Dine-out
"Eat Repeat";Yes;No;3.9;101;"+91 9945607074
+91 9880308011";Basavanagudi;"Quick Bites";"Sweet Pongal, Curd Rice";"South Indian";"13, 4th Cross Road, NR Colony, Basavanagudi, Bengaluru";150;Dine-out
"Sri Guru Kottureshwara Davangere Benne Dosa";Yes;No;4.1;558;"+91 9448305384
+91 9060079480";Basavanagudi;"Quick Bites";"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa";"South Indian";"49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore";150;Dine-out
Bridgeway;No;No;3.8;94;"080 26753339
+91 9740935746";"Mysore Road";"Casual Dining";NULL;"North Indian, Chinese";"11/1, Satellite Bus Stand, New Guddadahalli, Mysore Road, Bangalore";550;Dine-out
"Srinathji's Cafe";No;No;3.8;148;"080 26600704
+91 9342593424";Basavanagudi;"Casual Dining, Cafe";"Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda";"North Indian, Cafe, Chinese, Fast Food";"112, Bull Temple Road,next to more Basavanagudi, Bangalore";550;Dine-out
"Soho Bar & Grill";No;No;2.7;377;"080 41609445
080 41609443";Basavanagudi;Pub;"Thai Chicken, Chicken Lollipop, Cocktails, Jeera Rice, Rolls, Draught Beer, French Fries";"North Indian, Chinese, Thai";"31 South Park Hotel, 198, 2nd & 3rd Floor, Gandhi Bazaar Main Road, Basavanagudi, Bangalore";1,100;Dine-out
Kollapuri's;No;No;3.9;206;"080 41205839";Basavanagudi;"Quick Bites";"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry";"South Indian, Mangalorean";"1, Corporation Market, Gandhi Bazar, Basavanagudi, Bangalore";450;Dine-out
"Aadhya Hotel";Yes;No;3.3;5;"+91 9741115446";Basavanagudi;"Casual Dining, Bar";NULL;"South Indian, North Indian, Chinese, Biryani";"215, 2nd Main, Thygarajanagar, Basavanagudi, Bangalore";800;Dine-out
"Bhavani Restaurant";No;No;3.9;100;"+91 7349414217
080 43752748";Basavanagudi;"Quick Bites";"Coffee, Vada, Curd Rice, Ghee Roast Paneer, Thali";"South Indian, North Indian, Chinese";"54, Bull Temple Road, Gavipuram Extn, Gavipuram Extention, Basavanagudi, Bangalore";300;Dine-out
"Puliyogare Point";Yes;No;4.2;444;"+91 9986953484
+91 9880156235";Basavanagudi;"Quick Bites";"Sweet Pongal, Mini Idlis, Filter Coffee, Open Masala Dosa, Pakoda, Vada, Raagi Dosa";"South Indian";"81, East Anjaneya Street, NR Colony, Near Basavanagudi, Basavanagudi, Bangalore";100;Dine-out
Zephyr;No;No;3.9;133;"+91 9632248392
080 41476255";Basavanagudi;"Casual Dining";"Chilli Paneer Pizza, Mocktails, French Fries, White Sauce Pasta, Nachos, Manchurian";"Italian, Continental";"79/1 - 6, 5th Floor, Aishwarya Sampoorna Building, Vani Vilas Road, Basavanagudi, Bangalore";650;Dine-out
Redberrys;Yes;No;4;219;"+91 9148421256";Basavanagudi;Cafe;"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam";"Cafe, Italian";"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore";600;Dine-out
"Hotel Dwarka";No;No;4.2;253;"080 25905217
+91 9886757366";Basavanagudi;"Quick Bites";"Khali Dosa, Kali Dosa, Upma, Filter Coffee, Kesari Bath, Set Dosa, Masala Dosa";"South Indian";"Near Katte Balaga, NR Colony, Basavanagudi, Bangalore";250;Dine-out
"Nisarga Garden Restaurant";No;No;3.4;51;"+91 9448261574";Basavanagudi;"Quick Bites";NULL;"South Indian, Chinese, Desserts, Beverages";"26, D.V.G. Road, Gandhi Bazaar, Basavanagudi, Bangalore";350;Dine-out
"Ma-Arya Family Restaurant";No;No;3.7;61;"080 26601211
+91 9620007561";Basavanagudi;"Casual Dining";"Mutton Biryani, Crispy Fried Chicken";"Biryani, South Indian, North Indian, Chinese, Andhra";"186, Datta Complex, 1st Floor, Next To Flower Market Gandhi Bazar, Basavanagudi, Bangalore";600;Dine-out
"A2B - Adyar Ananda Bhavan";Yes;No;3.8;155;"080 26746999
080 26748999";"Mysore Road";"Casual Dining";"Pav Bhaji, Masala Dosa, Idli Vada, Filter Coffee, Pongal, Curd Rice, Kesari Bath";"South Indian, Fast Food, Street Food";"153, Satellite Bus Stand, Byataranyapura, Mysore Road, Bangalore";400;Dine-out
Ragoo's;Yes;No;3.9;233;"080 26762888
080 26763888";Jayanagar;"Casual Dining";"Corn Augratin, Lasagne, Fries, Garlic Bread, Pili Pili Pizza, Mexican Rice, Ravioli";"Italian, Pizza, North Indian, Salad";"16, 5th B Main, KR Road, Jayanagar, Bangalore";800;Dine-out
"Imperial Restaurant";Yes;No;3.7;264;"+91 7338431313
080 26741313";"Mysore Road";"Casual Dining";"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken";"North Indian, Chinese, Biryani, Beverages";"153, Satellite Bus Stand, Byataranyapura, Mysore Road, Bangalore";750;Dine-out
"New Prashanth Hotel";No;No;3.9;66;"+91 9900966619";Basavanagudi;"Casual Dining";NULL;"South Indian";"22, Gandhibazar, Basavangudi, Bangalore, Basavanagudi, Bangalore";400;Dine-out
"Udupi Sri Krishna Bhavan";No;No;4.1;238;"080 26676566";Basavanagudi;"Quick Bites";"Masala Dosa, Vada, Obbattu, Badam Milk, Khara Bhath, Coffee, Puri Saagu";"South Indian";"115/116, 1st Floor, Gandhibazaar, Basavanagudi, Bangalore";600;Dine-out
"Chinese Kitchen";Yes;No;3.8;58;"+91 9845914270
+91 8884889088";Basavanagudi;"Quick Bites";NULL;Chinese;"67, Kanasu Complex, Kubirmutt Road, Hunumathathangar, Basavanagudi, Bangalore";150;Dine-out
Vijayalakshmi;Yes;No;3.9;47;"080 49653547";Basavanagudi;"Quick Bites";NULL;"South Indian";"No.37, Shree Complex, Next to Dominoes Pizza, Bull temple Road, Basavanagudi, Bangalore";200;Dine-out
"Nammura Donne Biriyani";Yes;No;3.5;155;"080 49652156";Basavanagudi;"Quick Bites";NULL;"Biryani, Fast Food";"84/1, South End Road, Basavanagudi, Bangalore";400;Dine-out
"Curry Leaves";Yes;No;4.1;176;"+91 8048666976
+91 8026760130";Basavanagudi;"Casual Dining";"Brownie, Mojito, Prawn Ghee Roast, Corn Tikki, Mushroom Ghee Roast, Pinacolada, Biryani";"Andhra, North Indian, Chinese";"15, 1st Main, Kariyappa Road, Basavanagudi, Bangalore";800;Dine-out
"Goli Vada Pav No. 1";Yes;No;3.7;93;"+91 9845208282
+91 9538308282";Basavanagudi;"Quick Bites";"Masala Vada Pav, Cheese Vada Pav, Fries";"Street Food";"92/1, Next to Vodafone Store, Gandhi Bazar Main Road, Basavanagudi, Bangalore";200;Dine-out
"Ice Thunder";No;No;3.8;124;"+91 9845366565";Basavanagudi;"Quick Bites";"Masala Poori, Rumali Roti, Sandwiches, Chaat, Burgers";"South Indian, Fast Food, North Indian, Desserts";"DV Gundappa Road, Gandhi Bazar Circle, Binny Talkies, Basavanagudi, Bangalore";300;Dine-out
"South Kitchen";Yes;No;4.3;275;"+91 9880980009";Basavanagudi;"Quick Bites";"Kharabath, Crispy Vada, Filter Coffee, Idli Vada, Idli Chutney, Kesari Bath, Gulab Jamun";"South Indian";"1st Main Road, Near Katte Balaga, NR Colony, Basavanagudi, Bangalore";100;Dine-out
"Upahara Darshini";No;No;4.2;254;"080 26611355";Basavanagudi;"Quick Bites";"Masala Dosa, Vada, Set Dosa, Filter Coffee, Raita, Idli Sambar, Crispy Dosa";"South Indian";"DVG Road, Gandhi Bazar, Basavanagudi, Bangalore";150;Dine-out
"Mahalaxmi Tiffin Room";No;No;4.1;177;"+91 8762687707";Basavanagudi;"Quick Bites";"Filter Coffee, Rava Idli, Kali Dosa, Carrot Halwa, Idli Vada, Vada Sambar, Bonda";"South Indian";"85/1, Dr DVG Road, Near National College, Opp. Sashi Arcade, Basavanagudi, Bangalore";100;Dine-out
"Starlite Bakery & Fastfood";Yes;No;3.7;23;"080 49653268";Jayanagar;"Quick Bites";NULL;"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts";"25/4, 7th Block K.R Road, 8TH Cross Opposite, HDFC Bank, Jayanagar, Bangalore";300;Dine-out
Sandwichwallas;Yes;No;4;132;"+91 8277204538";Basavanagudi;"Quick Bites";"Sandwiches, Veg Burger, Pizza Sandwich, Burgers, French Fries, Wedges, Club Sandwich";"Fast Food";"28, Near BMS Women's College, E.A.T Street, Basavanagudi, Bangalore";200;Dine-out
"J K Fish Land";Yes;No;3.6;35;"+91 9535915646";Jayanagar;"Quick Bites";NULL;"Seafood, Mangalorean";"272, 14th Cross Road, Yediyur, Jayanagar, Bangalore";300;Dine-out
"Udupi Grand";Yes;No;3.8;74;"+91 9242115999
+91 9591322733";Basavanagudi;"Quick Bites";"Coffee, Masala Dosa, Vegetable Biryani";"South Indian, North Indian, Chinese";"49, South End Road, Nagasandra Circle, Basavanagudi, Bangalore";300;Dine-out
"Chinese Square";Yes;No;3.9;38;"+91 8884889088";Basavanagudi;"Quick Bites";NULL;Chinese;"169, Subbarama Chetty Rd, NR Colony, Basavanagudi, Bangalore";200;Dine-out
"Castle Rock";Yes;No;3.6;172;"080 42014000
+91 9845030125";Uttarahalli;"Casual Dining";Biryani;"North Indian, Chinese";"1/2, Opposite Indian Oil Petrol Bunk, 1st Cross, Kaderanhalli Crossroad, Subramanyapura Main Road, Padmanabhanagar, Uttarahalli, Bangalore";700;Dine-out
"Swadd Kitchen";Yes;No;3.4;4;"+91 8042140454
+91 9080869067";Basavanagudi;"Casual Dining";NULL;"North Indian, Fast Food";"32/2, DVG Road, Basavanagudi, Karnataka, Bangalore";500;Dine-out
"Right Pizza";Yes;No;NULL;0;"+91 9980473473
+91 9845338098";Basavanagudi;"Quick Bites";NULL;Pizza;"Shop 9, East Anjanaiya Temple Street, Gandhi Bazar, Basavanagudi, Bangalore";300;Dine-out
"Kamat Bugle Rock";Yes;No;3.9;543;"080 26605734";Basavanagudi;"Quick Bites";"Jowar Roti, Buttermilk, Jolada Rotti, Brinjal Curry, Coffee, Pongal, Vegetable Biryani";"South Indian, Fast Food";"1, 5th Main Road, Bull Temple Road, Basavanagudi, Bangalore";300;Dine-out
"Basavanagudi Mylari";No;No;4;52;"+91 9880623407";Basavanagudi;"Quick Bites";"Coffee, Idli, Masala Dosa, Sagu Dosa, Kesari Bath, Kharabath, Plain Dosa";"South Indian";"26/2, Bugle Rock Rd, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka";300;Dine-out
"RS Shiv Sagar";No;No;3.7;217;"080 26604686
080 26600115";Basavanagudi;"Casual Dining";"Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda";"North Indian, Chinese, South Indian, Fast Food, Juices";"5, Mallariah Complex, Near Corporation Bank, Gandhi Nagar, Basavanagudi, Bangalore";450;Dine-out
"New Prashanth Hotel";No;No;2.9;34;"080 26766679
+91 8861190190";Basavanagudi;"Casual Dining";NULL;"South Indian, Biryani, Chinese, North Indian";"215, 2nd Main, Thygarajanagar, Basavanagudi, Bangalore";750;Dine-out
"Shrinidhi Military Hotel";No;No;3.3;6;"+91 9945526733";Basavanagudi;"Quick Bites";NULL;"North Indian, Mughlai";"18, S End Road, Basavanagudi, Bangalore";300;Dine-out
"Dakshin Kitchen";Yes;No;3.6;15;NULL;Basavanagudi;"Quick Bites";NULL;"South Indian";"Kabirmutt Road, Gavipuram Extension, Basavanagudi, Bangalore";100;Dine-out
"Pramukh Family Restaurant";No;No;3.9;111;"080 26622484
+91 8970968889";Basavanagudi;"Casual Dining";"Murgh Ghee Roast, Malai Kofta, Butter Chicken, Donne Biryani, Cocktails, Palak Rice, Masala Peanuts";"North Indian, Chinese, Mughlai";"5, 1st Floor, Mallariah Complex, Gandhi Bazar Main Road, Basavanagudi, Bangalore";700;Dine-out
Chaatimes;Yes;No;3.8;133;"+91 8884232233";Basavanagudi;"Quick Bites";"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri";"Street Food, Fast Food";"39, 3rd Main,4th Cross, Hanumanth Nagar, Near, Basavanagudi, Bangalore";200;Dine-out
Vybhava;No;No;3.8;39;"+91 8026653198";Jayanagar;"Quick Bites";"Masala Dosa, Idli, Vada Sambar";"South Indian, North Indian";"35-1, Near Yediyur Lake, Kanakapura Road, Jayanagar, Bangalore";250;Dine-out
"Shree Venkateshwara North Karnataka Hotel";No;No;4;64;"+91 8971951073";Basavanagudi;"Quick Bites";"Buttermilk, Jolada Rotti";"South Indian";"31, Police Station Road, Near Gandhi Bazaar, Basavanagudi, Bangalore";200;Dine-out
"Kadamba Classic";No;No;3.6;16;NULL;"Mysore Road";"Quick Bites";NULL;"South Indian";"Satellite Bus Stand, KSRTC, Mysore Road, Bangalore";300;Dine-out
"Food Geek";Yes;No;3.8;25;"+91 6361205115";Basavanagudi;"Quick Bites";NULL;"Sandwich, Fast Food, Rolls";"3/1, Bugle Rock Road, Gandhi Bazaar, Basavanagudi, Bangalore";350;Dine-out
"Rosewood International Hotel - Bar & Restaurant";No;No;3.6;8;"+91 9731716688
080 26740366";"Mysore Road";"Casual Dining";NULL;"North Indian, South Indian, Andhra, Chinese";"19/1, New Timberyard Layout, Beside Satellite Bus Stop, Mysore Road, Bangalore";800;Dine-out
"Anand Sagar Inn";No;No;3.3;6;"080 43325555
+91 9513803777";Basavanagudi;"Casual Dining";NULL;"South Indian, North Indian, Chinese";"52, Dinesh Complex, Nettakallappa Circle, Subbarama Chetty Road, Basavanagudi, Bangalore, Bengaluru";450;Dine-out
"Sangam Military Hotel";No;No;3.2;14;"+91 9448511744";Jayanagar;"Quick Bites";NULL;"South Indian";"528/A, 14th Cross, Shastri Nagar Main Road, Jayanagar, Bangalore";250;Dine-out
"Kholi Mane";No;No;3.6;46;"080 26765670
+91 9035165670";Basavanagudi;"Quick Bites";NULL;"Andhra, South Indian, Biryani, North Indian";"144/1, 2nd Main Road, 2nd Block, Thyagaraja Nagar, Basavanagudi, Bangalore";450;Dine-out
"Harshi Super Sandwich";No;No;3.8;148;"+91 9900924729";Basavanagudi;"Quick Bites";"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich";"Fast Food, Street Food";"60/1, East Anjaneya Temple Road, Basavanagudi, Bangalore";150;Dine-out
"Hotel Pork Paradise";Yes;No;3.7;21;"+91 8088040404
+91 9986800010";"Mysore Road";"Quick Bites";NULL;"South Indian";"D/25, 2nd Main, 260 Mysore Road Tollgate, Opposite Gopalan Mall, Mysore Road, Bangalore";300;Dine-out
"Pallavi Bar & Restaurant";No;No;NULL;0;"00 917019727875";"Mysore Road";"Casual Dining, Bar";NULL;"North Indian, South Indian, Chinese";"Byatarayanapura, Opposite-Gali Anjaneya Temple, Mysore Road, Bengaluru";550;Dine-out
"Belly Squad Food Truck";No;No;3.8;55;"+91 7760617526";"South Bangalore";"Food Truck";"Biryani, Momos, Rolls";"Chinese, Rolls, Biryani, Momos";"Back Gate of BMS College Hanumanthanagar, Basavanagudi, Bengaluru";300;Dine-out
"Tejas Bar and Restaurant";No;No;NULL;0;NULL;Nagarbhavi;"Casual Dining";NULL;"Chinese, South Indian";"1440, Nagarabhavi Main Road, 2nd Block, Stage 2, Nagarabhavi, Bangalore, Bengaluru";800;Dine-out
"Old Days North Indian Restaurant";No;No;NULL;0;"+91 9632798245";Basavanagudi;"Casual Dining";NULL;"North Indian";"198, Gandhi Bazaar Main Road, Basavanagudi, Bangalore";450;Dine-out
"New Rajadhani Spicy";Yes;No;3.7;67;"+91 8971562572";"Kumaraswamy Layout";"Casual Dining";NULL;"North Indian";"16, Lalitha Enterprises, Kadirenahalli Main, Bendre Nagar, Kumaraswamy Layout, Bangalore";700;Dine-out
"Matru Sagar";Yes;No;3.7;31;"+91 9342250609";"Mysore Road";"Quick Bites";NULL;"South Indian, North Indian";"Sri Balaji Complex, 339/3, Kuvempu Nagar, Next to Bus Stand, Mysore Road, Bangalore";300;Dine-out
"Sri Udupi Veg";No;No;3.3;4;"+91 9740091688
+91 9739886325";Jayanagar;"Quick Bites";NULL;"South Indian";"335, KR Road, Shastri Nagar, Yediyur, Jayanagar, Bangalore";250;Dine-out
"50-50 EATING HOUSE";No;No;3.2;4;NULL;Basavanagudi;"Quick Bites";NULL;"South Indian, Biryani";"23/1, 7th Cross, N R Colony, Basavanagudi, Bangalore";100;Dine-out
"Aahar Cafe";No;No;NULL;0;"+91 9448353673";Basavanagudi;"Quick Bites";NULL;"South Indian";"39/4, North Anjaneya Temple Street, Basavanagudi, Bangalore";100;Dine-out
"Om Shiva Shakthi Chats Centre";No;No;3.9;26;"+91 9845344083";Basavanagudi;"Quick Bites";NULL;"Street Food, Fast Food";"90/3, Eat Street, Basavanagudi, Bangalore";300;Dine-out
"Juice Junction Food Court";Yes;No;3.7;57;"+91 9986282260";Basavanagudi;"Quick Bites";NULL;"Juices, South Indian, Chinese, Fast Food";"54, Bull Temple Road, Basavanagudi, Bangalore";200;Dine-out
"Burger King";Yes;No;3.2;71;"091 8147302939";Basavanagudi;"Quick Bites";NULL;"Burger, Fast Food, Beverages";"59/3, Ground & First Floor, West Anjaneya Temple Road, Ward 49, Gandhi Bazaar, Basavanagudi, Bangalore";600;Dine-out
"Inchara Restaurant";Yes;No;NULL;0;"+91 9916045817";Basavanagudi;"Quick Bites";NULL;"North Indian, Chinese";"84, Basavanagudi, Bangalore";300;Dine-out
"Rolls Corner";No;No;3.6;22;"+91 8904886443";Basavanagudi;"Quick Bites";NULL;"Fast Food, Rolls";"701, 2nd Cross, Ashok Nagar, Basavanagudi, Bangalore";150;Dine-out
"Charisma's Matru Sagar";No;No;NULL;0;"+91 8618588645";"Mysore Road";"Quick Bites";NULL;"South Indian, Chinese";"Near Byatarayanapura Police Station, Mysore Road, Bangalore";150;Dine-out
"New Ambur Hot Dum Biryani";No;No;3.2;8;"+91 7975160136";"Mysore Road";"Quick Bites";NULL;Biryani;"Near BHEL, Mysore Road, Bangalore";150;Dine-out
Sticke2Waffles;No;No;NULL;0;"+91 9663090484";Basavanagudi;"Quick Bites";NULL;"South Indian, Fast Food";"27/1, East Anjaneya Temple street, Basavanagudi, Bangalore";100;Dine-out
"Nimmoora Thindi";No;No;NULL;0;"080 26755220
+91 9945605221";"Mysore Road";"Quick Bites";NULL;"North Indian, South Indian";"New Guddada Halli, Next to Bus Stop, Mysore Road, Bangalore";400;Dine-out
"Oasis Food Center";No;No;NULL;0;"+91 8105575495";Basavanagudi;"Quick Bites";NULL;"Fast Food";"1395, 2nd Cross, Kathriguppe Main Road, Behind BMS College, Basavanagudi, Bangalore";150;Dine-out
"Godumana Moddha Hotel";No;No;NULL;0;"+91 9845408798";"Mysore Road";"Quick Bites";NULL;Biryani;"Near TVS Showroom, Mysore Road, Bangalore";250;Dine-out
"Akash Gowdru Biryani Center";No;No;NULL;0;"+91 9986256324
+91 9481426242";Uttarahalli;"Quick Bites";NULL;"North Indian, Chinese";"Chikkalasandra, Near Ashwathkatte Ganesha Temple, Opposite Dominic School, Uttarahalli, Bangalore";300;Dine-out
"New Sri Udupi Restaurant";No;No;NULL;0;"00 08026543161";Jayanagar;"Quick Bites";NULL;"North Indian, South Indian, Chinese, Beverages, Fast Food";"164/B, 24th Cross, 6th Block Yediyur, Jayanagar, Bangalore";200;Dine-out
